Feature,Definition,Variable Name,Behavioural Context,Cohort,Source
Ornamentation,Complex melodic variation or “decoration” of a perceived underlying musical structure. A song perceived as having ornamentation is annotated with a value of 1.,ornament,to soothe a baby,Industrialised,Expert Annotation
Syncopation,"The degree of of syncopation in the song (roughly equateable with ’rhythmic complexity’). Syncopation is when rhythmic accents align with metrically weak positions of a metrical beat structure (e.g., having accents half way between when people tap their foot rather than directly aligned with the foot taps).",syncopate,for dancing,Industrialised,Expert Annotation
Syncopation,"The degree of of syncopation in the song (roughly equateable with ’rhythmic complexity’). Syncopation is when rhythmic accents align with metrically weak positions of a metrical beat structure (e.g., having accents half way between when people tap their foot rather than directly aligned with the foot taps).",syncopate,to heal illness,Industrialised,Expert Annotation
Duple macrometer present,Duple macrometer present.,macrometer_duple,for dancing,Smaller-scale,Expert Annotation
Triple macrometer present,Triple macrometer present.,macrometer_triple,to heal illness,Industrialised,Expert Annotation
Tension," The degree to which the passage is perceived to build and release tension via changes in melodic contour, harmonic progression, rhythm, motivic development, accent, or instrumentation. If so, the song is annotated with a value of 1.",tension,to heal illness,Industrialised,Expert Annotation
Vibrato present,"Presence of vibrato in the singing. Vibrato is a rapid, slight oscillation in pitch that is typically perceived as adding intensity.",vibrato,to heal illness,Industrialised,Expert Annotation
Variety in pitch,"A pitch class is the group of pitches that sound equivalent at different octaves, such as all the Cs, not just middle C. This variable, an indicator of melodic variety, counts the number of pitch classes that appear at least once in the song.",pitch_class_variety,for dancing,Industrialised,Transcription
Melodic Thirds,Prevalence of 3 or 4 semitone intervals.,melodic_thirds,for dancing,"Industrialised, Smaller-scale",Transcription
Melodic Thirds,Prevalence of 3 or 4 semitone intervals.,melodic_thirds,to heal illness,Industrialised,Transcription
Average Note Duration,"Average duration of a note, in seconds.",average_note_duration,for dancing,Industrialised,Transcription
Average Note Duration,"Average duration of a note, in seconds.",average_note_duration,to soothe a baby,Industrialised,Transcription
Overall direction of motion,"Number of rising melodic intervals divided by number of intervals that are either rising or falling—that is, fraction of moving intervals that are rising (unisons are ignored). If a piece has no moving intervals, this field is 0. This feature considers intervals across rests as contributing to the direction of motion.",direction_of_motion,for dancing,Industrialised,Transcription
Overall direction of motion,"Number of rising melodic intervals divided by number of intervals that are either rising or falling—that is, fraction of moving intervals that are rising (unisons are ignored). If a piece has no moving intervals, this field is 0. This feature considers intervals across rests as contributing to the direction of motion.",direction_of_motion,to soothe a baby,Industrialised,Transcription
Overall direction of motion,"Number of rising melodic intervals divided by number of intervals that are either rising or falling—that is, fraction of moving intervals that are rising (unisons are ignored). If a piece has no moving intervals, this field is 0. This feature considers intervals across rests as contributing to the direction of motion.",direction_of_motion,to heal illness,Industrialised,Transcription
Pitch range,"The difference between the highest and lowest pitches, in semitones.",range,for dancing,Smaller-scale,Transcription
Pitch range,"The difference between the highest and lowest pitches, in semitones.",range,to soothe a baby,Industrialised,Transcription
Estimated simplified mode of the transcription,"Quality or mode of the transcription (major or minor) based on the Krumhansl-Schmuckler key-finding algorithm. This is done by finding the most likely key and then returning the mode of that key – rather than weighting the likelihood of all major and minor keys. 0 = Major, 1 = Minor.",quality,to soothe a baby,Industrialised,Transcription
Prevalence of modal pitch class,"Variety versus monotony of the melody, measured by the ratio of the proportion of occurrences of the second most common pitch (collapsing across octaves) to the proportion of occurrences of the most common pitch; monotonous melodies will have low values.",modal_pitchcls_prev,to soothe a baby,Industrialised,Transcription
Prevalence of modal pitch class,"Variety versus monotony of the melody, measured by the ratio of the proportion of occurrences of the second most common pitch (collapsing across octaves) to the proportion of occurrences of the most common pitch; monotonous melodies will have low values.",modal_pitchcls_prev,to heal illness,Industrialised,Transcription
Prevalence of stepwise motion,Fraction of melodic intervals one or two semitones in size.,stepwise_motion,to heal illness,Industrialised,Transcription
Prevalence of stepwise motion,Fraction of melodic intervals one or two semitones in size.,stepwise_motion,to soothe a baby,Industrialised,Transcription
Relative strength of most-common intervals,Fraction of melodic intervals that belong to the second most common interval divided by the fraction of melodic intervals belonging to the most common interval. This field is 0 if there are not two distinct most common melodic intervals. ,rel_strength_modal_intervals,to soothe a baby,Industrialised,Transcription
Note density,"Average number of notes per second, using durations from NHSDiscography_metadata.",note_density,to soothe a baby,Industrialised,Transcription
Amount of arpeggiation,"Fraction of horizontal intervals that are repeated notes, minor thirds, major thirds, perfect fifths, minor sevenths, major sevenths, octaves, minor tenths or major tenths.",amount_of_arpeggiation,to heal illness,Industrialised,Transcription
Interval between modal pitch classes,"Absolute value of the difference between the two most common pitch classes, in semitones. This field is 0 if there are not two distinct most common pitches.",interval_btwn_strongest_pitchcls,to heal illness,Industrialised,Transcription
